name,lat,lon
สวนผักคนเมืองโรงเรียนสุเหร่าทางควาย,13.724771,100.672539
สวนผักโรงเรียน วัดลาดบัวขาว,13.757705,100.69676
สวนผักโรงเรียนดอนเมืองจาตุรจินดา,13.916007,100.59003
บวร บ้าน วัด โรงเรียน,13.743887,100.495167
แปลงผักปลอดสารพิษ มหาวิทยาลัยมหิลด ศาลายา,13.798129,100.323446
สวนอุทยานการเรียนรู้ป๋วย 100 ปี มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,14.071185,100.611814
สวนผักคณะสถาปัตยกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,13.853177,100.568501
สวนผักดาดฟ้า : พื้นที่แห่งการเรียนรู้,13.820375,100.576501
